gene,memory.CD8.T.cells,naive.CD8.T.cells,naive.CD4.T.cells,memory.CD4.T.cells,regulatory.T.cells,naive.B.cells,memory.B.cells
FSIP1,16.460708880168,14.490344677357836,35.85558811964647,27.500690351845286,18.60581672127433,13.609555394768767,15.718953673635545
FSIP2,10.498287301620083,10.515109038336805,9.005853275525748,9.361793021876561,9.12207107962447,11.129834898227971,11.296602323863864
FST,18.288566015294727,31.540070636636965,52.14832871680848,72.28164325271091,35.49966124042494,25.681114572001352,26.96423829523814
FSTL1,53.02128080282824,45.160116918853774,19.25466267523363,35.217588719695236,31.467613642595122,33.09869930734292,27.47900436203498
FSTL3,137.92409034328222,168.32769701755453,119.46239070750383,79.55184717641309,86.91753585254472,82.73703151658434,92.33332785377513
FSTL4,31.344314297298574,31.75181032664968,34.10246166392174,42.74955765413171,26.74087024659982,38.89319978084562,37.22325488051255
FSTL5,9.823008791967823,7.701348036067148,12.484063407122802,10.346455107340203,11.029419978037286,9.208257814416484,10.880926690980262
FTCD,75.76332059062199,65.10070254577009,83.74541720661634,83.94205342992286,229.4295731765325,144.4828824844355,126.56563308054841
FTH1,8564.00089766694,4675.240487233992,1932.0861656248276,3172.271262529243,1442.2422526086034,3595.856715553174,3579.3246938494294
FTH1P3,163.0874964391257,79.00393137326873,257.2471978303546,314.40139818761156,346.5911943718201,175.51784591115205,170.343014682827
FTH1P5,54.73915744491463,29.149584934272134,40.38545878398247,47.76907057909225,19.247851937765613,33.735768865549986,28.75194709001311
FTHL17,241.39560897656878,291.92093459937865,49.47489984083505,71.16548055033012,51.63941358304113,56.13454373443384,57.4188518076358
FTL,3621.8609156226894,4015.7748470946876,1099.0018732756705,1781.229264771875,255.90215198814627,1558.7250639344632,1632.100779387739
FTMT,15.791156563983437,16.69368139536556,18.531266744999368,18.524647314917953,21.671418520246515,17.35270901026502,14.490344677357836
FTO,619.9326815058001,555.4634586635208,349.25700449303673,563.080625428607,455.1730784052829,459.3145089835479,411.7178237257161
FTSJ1,257.52658648434794,272.6357348684442,763.2280861992598,269.8790042104589,158.00524150087963,218.06097322773823,233.0438747601134
FTSJ2,126.67188333868134,132.39895669969889,380.6086428248239,177.7341471255727,165.2413097108708,179.88004792281868,250.7355288780099
FTSJ3,150.15072654154943,136.0897929245613,426.5862737892515,182.84190610711747,338.7839767424025,128.0831671038567,132.89105172203307
FUBP1,925.4633857850183,1109.4806327854444,1233.772449242313,1376.9427795193835,2862.1404772168394,1165.3352365072049,1196.8461466058168
FUBP3,327.962411926221,334.03395495689307,445.43286745489434,306.60645688997266,382.5618046565042,326.99060001927415,321.2259144143049
FUCA1,153.66512443557812,131.419802210786,119.04348648778908,114.36234302470027,82.34520803185417,127.29240070655173,185.21494876380615
FUCA2,88.74457017262556,35.85558811964647,94.50132186518792,109.69181427298247,286.46263288768927,53.43939646825085,112.73168397139727
FUK,117.59812248598948,115.45340057603437,88.46536323897351,117.02114571624561,73.65453820086974,117.64391942442835,113.766314409576
FUNDC1,142.07598044151828,134.8082509739502,261.7739056467054,188.5224586218807,778.1805067028299,162.01529603033848,180.67993508321666
FUNDC2,392.47380762220376,486.7620182538479,282.41494970651746,305.08465317287227,355.9547653557685,203.1854268628335,223.86429747725285
FUNDC2P2,18.448817583169504,17.078608266107302,17.887553219694478,16.69742162231634,13.153132774993738,17.058671439162357,14.803171409997146
FUOM,115.21387382170072,123.50571117798198,373.0967119419756,135.55499789156855,97.12409492258428,174.67356621409658,150.22226681515824
