gene,T.cells,memory.B.cells,naive.B.cells
CRYZL1,75.70663165191986,44.9534049848738,71.87392908429315
CS,372.8174993705318,464.3799609235041,387.45602647656875
CSAD,27.95231598573857,26.37260493847387,27.786514543992975
CSAG2,14.086231520679746,13.784628344953562,13.734786027016384
CSDC2,20.263543273689713,23.20793120889131,21.227950367521647
CSDE1,749.8794369020674,793.3308209055613,557.8214395195706
CSE1L,143.19621094958393,184.02087198425707,188.03229441430133
CSF1,37.86504303526981,32.47805955516992,26.475611789728756
CSF1R,53.14069326868264,55.27532338687697,52.57766945588065
CSF2,44.301760314624914,50.48400802740273,34.48540500463698
CSF2RA,18.89181206504295,13.315332487999987,15.020055469118825
CSF2RB,15.338185505579224,184.4875001309117,121.86732206500017
CSF3,49.6438553446348,48.81066009620273,52.67369582335846
CSF3R,37.42696628983861,42.36081123213334,45.46342295961713
CSGALNACT1,95.98305591958798,149.35101188537794,56.803138162925244
CSGALNACT2,137.39482551196764,144.7673988497297,106.04717764440896
CSH1,15.874726313915632,16.968727363547227,15.935369303262746
CSHL1,11.35930343120169,11.544856805296938,11.319541630356705
CSK,522.0132568385135,801.7767839964121,774.7122536916067
CSMD1,8.425519461947227,7.485642489584504,7.6478743371313485
CSMD2,19.421797213022572,16.621100873456896,15.500776171420041
CSMD2-AS1,56.01732735241119,40.105964521969234,32.12847504519215
CSMD3,6.710847110497112,12.096594767018237,6.212154030973859
CSN1S1,17.611479743347306,13.204023411067624,16.98308970654642
CSN1S2AP,9.151987876844546,12.656411149838453,10.230988420481502
CSN2,9.273899725175736,11.326245215412193,11.234330639395251
CSN3,7.0499519264847,7.269298040194616,7.872462089580348
CSNK1A1,181.00331403704322,84.50369493197451,148.52281883567866
CSNK1A1P1,7.2185005365990245,5.182818167875208,5.273195539662331
CSNK1D,105.8821334485304,58.19265872125951,94.91400770376352
CSNK1E,33.237304548329696,45.92727533074003,43.13703690100173
CSNK1G1,40.13503177036997,33.93792610815748,45.238535311390045
CSNK1G2,162.4501473886758,114.59549861733302,142.50933925351993
CSNK1G2-AS1,35.839287368185204,48.195794924544195,25.01437372865387
CSNK1G3,44.23528463780392,52.08347926575627,89.0872184560928
CSNK2A1,73.5347869012128,112.26586020437753,103.29435148484981
CSNK2A2,76.6814831450415,92.10939987495176,85.82663863143328
CSNK2B,202.23814186983444,137.84452728749056,241.38683181660815
CSPG4,7.764322371093669,9.17629867619331,8.5844628705208
CSPG4P1Y,25.962085764283255,21.782771172013142,17.398583624012176
CSPG4P5,23.68696287420211,31.486418574705255,31.902126576292915
CSPG5,14.175767913057888,16.311119469429503,13.070382526545416
CSPP1,18.908386110153725,16.98073505159901,23.61739559069706
CSRNP1,68.91171887041031,118.49180456960612,96.75032136236064
CSRNP2,43.07571081745285,38.393564502801674,35.04185186327472
CSRNP3,10.349464532979267,10.384265459042583,9.311866337038227
CSRP1,164.35709043536102,247.9589699449,106.15024650254747
CSRP2,19.87592884093708,21.990099447526493,22.546494840369558
CSRP2BP,28.323606041178905,35.09645654155212,36.8142312207861
CSRP3,7.783368794083185,7.045876198293306,8.504184222196853
CST1,8.284557140798308,7.338149749902375,8.923966543690396
CST11,14.002264094766588,14.757767635793341,12.308490007131054
CST13P,8.138663333063759,7.587981823292125,7.559767613406805
CST2,9.231708154197213,10.678861701426307,9.685666615304953
CST3,17.947401707341832,15.584448294830407,16.657858929336694
CST4,39.026583978427105,32.2021364441048,29.643262947866585
CST5,11.900055281776881,10.259627696812709,11.639433226698257
CST6,17.457398824114723,16.80859393559392,10.959654710405736
CST7,350.4111374214912,352.6574090473273,50.750198734754
CST8,21.51500453897484,22.93677049429247,20.739924457451696
CST9,17.37405881540324,19.40133481846864,14.830921282996066
CST9L,11.7549758159142,11.235428892200156,11.79570730440873
CSTA,11.097078960685492,10.554298306392687,16.310004540726656
CSTB,342.9504058807288,98.91239897495534,245.36385925069195
CSTF1,49.563606239822604,75.42264965687332,47.91288018674998
CSTF2,65.41109892319004,54.9442942059949,62.247145191930606
CSTF2T,64.82887515791718,53.8124894119481,63.68809846297811
CSTF3,84.50369493197451,73.00835515817715,73.85981604496361
CSTF3-AS1,4.558452505268133,4.936870914245181,4.647941484833365
CSTL1,7.42687860488824,7.120663263727244,7.417912511733431
CT45A1,8.727225195095377,12.309048112124549,13.621698908485968
CT47A1,14.467560007831267,12.794783326598155,15.837379137789375
CT55,16.55118027598201,22.574222933683192,16.923532809171462
CT62,9.607835542135332,7.428600136898644,8.091446587644898
CT83,5.857958877291536,5.261968905639304,7.821891204057231
CTA-246H3.12,28.527435188542665,42.237706931909905,26.55520305324463
CTA-250D10.23,17.89008043630961,250.03389752459498,1064.0458954204428
CTA-254O6.1,8.554809956803046,13.734276004364622,8.829591263415693
CTA-268H5.14,21.725619540547275,13.960348923626347,12.668418795943973
CTA-280A3__B.2,19.209597262192705,21.610324071636068,25.156488666452873
CTA-292E10.6,10.60372740814462,8.523450446485802,12.384923979659126
CTA-29F11.1,32.13189617670117,56.3217787018797,42.29951499698026
CTA-331P3.1,8.63874241229712,6.11595605623189,9.732347915158076
CTA-384D8.35,13.723977273814958,13.628529157448694,16.79390340571896
