Symbol,B.cells,CD4.T.cells,CD8.T.cells,monocytic.lineage,NK.cells,neutrophils,endothelial.cells,fibroblasts
TMEM62,14.629002389935637,18.11732231451854,14.82809037899029,16.94150275702713,16.033746378555463,15.789011003702047,31.491020000000002,3.6
TMEM63A,54.299759340545265,217.78153692650113,116.94252517540535,43.17358657462025,56.940104254387435,31.97690609555075,32.097157,37.5
TMEM63B,90.26231239064248,104.22951897954539,98.03049240038503,153.8980173086339,105.46775084866019,144.75009184641542,286.35200000000003,106.1
TMEM63C,22.599755565408895,19.331387742656766,20.473133221444662,22.6893311796994,20.26362775626783,21.490611777568414,12.856013,2.2
TMEM64,16.218433996653204,13.99860228183311,15.75708213316826,26.83890031023636,15.378498918251081,16.42538385715475,44.577545,76.7
TMEM65,63.0096650555061,51.79138762855779,49.503733250805965,63.375534488737415,53.78669350703927,62.464677718121806,147.83096,76.2
TMEM67,10.937539932698495,10.521356648029684,10.837210933561153,10.75258433383311,10.834965527784158,10.80130658158273,8.941032,1.5
TMEM68,47.11417659232502,29.270618360353605,36.655173844499146,28.3820082172713,44.9706110418331,19.899181761695324,224.0217,56.4
TMEM69,419.703403225144,292.88055792242153,305.3985040221511,478.43340744838827,230.0431978858461,66.23361998176067,1984.2618,472.1
TMEM70,19.18790308314439,20.916157709778336,17.659824754902694,22.155003368912162,18.569661876186064,31.71849417942975,98.74424,56.7
TMEM71,653.1712774209177,1293.1919490573787,1395.4699170837998,1588.2201550881673,2045.8147811533952,5448.999434090984,85.74351,3.1
TMEM72,16.37427388339289,18.87609380041181,18.98633535724231,21.105373364833437,17.924285059501976,30.887041848329588,28.148296000000002,5.3
TMEM72-AS1,31.41423682890391,29.99464129546568,30.826618602035122,35.97992146811484,29.618332809936323,46.570623375352426,42.662594,14.3
TMEM74,10.880403024989402,11.059585037926006,10.954480991429419,11.08288590954496,10.11810608134401,10.44800241708228,7.336547400000001,11.4
TMEM74B,22.327906647935045,20.588709230543152,24.782483754790956,29.661361487717905,21.020550562218695,36.83567582348982,22.28827,12.1
TMEM75,13.772640830862928,13.557139393803844,12.479164957269905,15.18614597005481,13.267805898538818,13.074753451200063,13.240658999999999,10.9
TMEM79,47.222896665552796,52.17969189100094,49.82497953669496,42.95999642685342,51.615111745796504,63.74078316436979,49.549213,4.1
