Gene symbol,B.cells,CD4.T.cells,CD8.T.cells ,NK.cells,neutrophils,monocytic.lineage,fibroblasts,endothelial.cells
IGHE,18.17410575,46.81934,15.63289317,34.89403494,45.89295939,25.291882,4949.619115,23.51249171
IGHM,21960.79819,46.93569691,361.7379219,297.1742696,98.13122154,127.0436672,31273.67963,32.10709446
IGKC,27164.52012,489.1798399,3097.474216,445.9696596,119.9968023,318.0695055,36524.44074,78.07530888
IGLL3P,6633.535586,18.00926412,217.4652812,96.24473297,83.43489613,70.0394246,42851.28444,45.93797103
IGSF6,46.07125476,40.17569562,27.09871228,174.7038129,4222.728231,2662.140929,65.01794569,6076.582495
IL12B,105.275436,28.4476789,41.94288686,142.4831877,127.5501333,42.42610973,56.97214117,43.55770236
IL12RB2,13.44126834,33.86467066,95.11508424,2125.070706,14.16736964,20.50390251,13.07042258,19.79170172
IL17A,24.10976356,6.547727883,7.018701499,17.59921632,39.5476383,7.929351943,13.1991983,7.622591789
IL18R1,32.74521328,73.22426678,197.574303,1913.887796,516.0935366,19.50301241,34.90083093,19.54166867
IL18RAP,63.16533501,83.75974388,541.6070596,11904.42924,2653.493356,92.02184739,22.92310159,93.75421468
IL1A,207.8094975,98.02150804,65.8236721,157.7341323,204.892697,61.10993853,101.4843406,627.6075867
IL1B,508.1423339,136.961868,144.2186891,491.6343167,3099.346146,1257.182131,198.7896427,1273.463059
IL1RL1,161.2444569,19.32045331,34.56285806,190.4337365,102.9096081,37.42366918,109.8410784,98.08944243
IL21,346.0439646,21.34280658,59.42001123,106.7193114,201.0983497,103.5720427,161.7246112,83.58872184
IL26,6.120665994,7.902366544,7.410920044,12.82803351,4.557666573,3.424557859,26.26628742,2.491129956
IL2RA,151.2654723,87.16147336,85.8239546,670.2043747,31.22286334,25.41115885,79.81202979,33.9871692
