Symbol,naive.B.cells,endothelial.cells,fibroblasts,memory.B.cells,memory.CD8.T.cells,monocytes,naive.CD4.T.cells,naive.CD8.T.cells,neutrophils,regulatory.T.cells,NK.cells,memory.CD4.T.cells,myeloid.dendritic.cells,macrophages
IL9,192.826455,104.7746915,87.42222343,141.8458335,1.314246032,70.71225209,85.65815766,86.15341998,103.5218836,46.18525105,61.47776742,6819.719655,72.22018858,85.20125015
S100A12,365.6745264,292.1710306,166.7307699,416.3579084,31.00606821,19645.99099,226.9658528,185.7356265,20273.36986,6238.785257,3170.071809,120.1548985,227.0637197,263.0533747
MROH7,84.91094951,125.96227,65.69375513,71.52264968,17.3686574,98.81447079,92.85019957,74.33925283,144.4673501,70.26531575,61.9877757,66.99849607,96.07808735,85.97303907
FCER2,847.0700035,12.76456116,16.15069261,59.89140575,0.858992063,62.12929529,22.4519414,17.49728016,17.13828905,63.39706375,16.92186498,23.03474123,1162.50124,151.1715776
CXCL13,118.9293894,58.38765086,14.12583009,47.86866804,0.996777778,31.99725962,35.24996859,41.83131048,45.90545951,18.56981381,407.1576799,400.4655542,223.9829897,31.29449982
RASSF4,22.46192567,85.76677333,48.10588604,25.10820862,0.305412698,998.8825477,120.7636688,51.10454537,28.26944615,291.4249539,256.3079934,37.26581475,2944.411194,1055.612393
ACHE,23.37262494,21.49815972,27.57034067,23.47083674,0.680071429,24.83417127,24.00369525,17.32516555,22.02270873,19.50037038,19.55806285,23.93898677,55.84895051,24.85980581
CD96,280.4867333,117.7373671,69.92138764,366.0201408,618.9480795,82.08090619,1719.939889,2652.576571,247.9053269,1273.148318,2898.294529,1739.179311,89.71909521,86.84335644
SH2D1A,32.60868142,17.37927701,32.35525241,28.81803311,584.8891832,18.26274319,622.5104487,816.0717026,39.10413953,643.1402476,691.7984285,789.7124,22.88460797,22.8133483
MXRA8,594.127135,947.8327106,7559.840985,360.7907029,160.0114622,439.3736207,612.9450742,698.947806,858.4894659,387.2482974,371.8808465,310.3055019,366.475173,448.7732732
AZU1,93.46646885,45.55080741,135.3863859,109.4971795,1.731984127,183.407505,194.4521569,306.6230809,95.57313128,232.6486527,725.098295,109.9496905,140.7294425,120.9308413
DPT,27.24744654,29.25451433,475.9161247,21.46027228,0.566785714,28.51617652,17.05722668,20.64170848,23.51157357,25.49036498,21.12219294,22.95435575,27.36788921,29.85529725
GPR19,58.996349,120.1236457,43.0691977,101.2216575,329.995553,40.75370676,86.52113456,112.229049,108.2258351,69.92138764,108.8074405,514.9624272,36.01833464,42.43358702
WNT5B,25.39113736,38.74188125,3192.074561,24.1777083,0.945365079,53.87429048,19.62143993,28.77789368,34.52346654,23.24438011,20.97878672,19.0155884,202.3593884,29.95787468
GZMA,345.9049279,130.4939579,119.0119323,358.3341857,4213.93498,204.623182,3195.308425,7548.724304,656.4229504,5355.428439,27413.56907,3720.271171,147.7318995,157.9507837
LINC00597,31.11376715,117.8296136,52.43662426,52.81985337,2.119698413,64.91011297,33.22798276,16.76251326,38.65909536,129.6732902,205.0603854,14.60540735,15.42379197,40.68711595
MS4A2,243.2864271,210.9224669,41.54646468,265.3130596,2.507230159,54.74790184,173.0160622,133.6717538,212.4377988,91.02098414,72.34443705,117.9350881,101.8006668,67.14590313
