,monocytic.lineage,B.cells,CD4.T.cells,NK.cells,neutrophils,CD8.T.cells
ADRM1,198.0883191734259,167.3088557713231,141.49232612563156,131.17509276432153,135.19144034927652,94.13842089923226
ADSL,133.70318289970274,131.80945027498439,211.3690011564434,84.5094048907073,33.22137773678141,155.87207247708756
ADSS,148.35708333855268,75.92378441193208,110.642358131097,131.10873529272496,82.43585153214767,161.89331163584222
ADTRP,7.666775844426907,9.145803989435898,157.6432950721719,9.529826839053369,9.67364771399941,18.05014167859447
AEBP1,34.01148281087647,89.93993897412818,56.431938362944166,38.4832836608169,40.861492625832746,55.01743357448997
AEBP2,51.477496938644045,70.48771826335717,78.52825860425628,80.21221238660034,28.144673367130757,75.49237179117195
AEN,38.436897870387526,73.25371391683319,47.728530062031,50.08442062308053,42.330334970658214,55.014294452385684
AES,135.4306059452035,436.20726864835916,408.02959878787703,356.1151493783325,40.94513104174655,126.97297065095816
AF007147,169.38942504111822,154.44721005141946,318.99057764125763,197.91264753466297,116.34053230647021,61.03789686063114
AF289551,20.820026502787602,30.09642037498875,44.02710262137667,120.87398793535075,21.45824228590195,41.85293632374842
AFF2,17.327961049488838,18.289199169958188,16.21941634435269,21.891061385515563,26.53822546606214,27.689870415336962
AFF3,20.85931678137682,1179.205955124071,46.43883902369203,7.475655049078765,6.033938532999714,6.121701825054872
AFF4,25.386858949803756,40.7590917884475,26.797007600269644,20.00155139443381,15.487689183403067,17.752160792602744
AFG3L1P,28.481436355609286,35.909159993956536,36.99298980742195,27.341869775560212,16.717184676419027,26.41601975208822
AFG3L2,68.13149694289048,79.33524355543946,66.17296415307935,61.476792905760696,12.628662968665965,265.0626465048642
AFTPH,150.25091849085015,293.18551137780895,125.51708999966911,78.76976136859852,194.63670607639327,80.11977480397633
AGA,20.902882528385373,31.419754434979456,29.858711401802285,18.513939403589298,9.095607503842372,54.91165748643517
AGAP2,15.95791210465625,16.06322872463769,19.031798536317297,20.118348846566615,27.666341988742484,22.200585924438688
AGAP3,69.27342020482476,47.358451362302205,61.80021705217642,80.34854534358422,67.19770237122948,75.77323366985432
AGER,62.08832041578157,37.03532262854601,45.13985878143064,33.946007516618714,94.19639877058258,30.476250150626285
AGFG1,20.186095794768768,22.099625242382864,10.354528816436941,9.378778258427213,15.628203050959069,36.30655089008978
AGFG2,22.803762880057228,22.976545476761803,22.2505639939744,29.44131079867488,32.96287102907164,32.24884026369539
AGGF1,22.057081391126,30.4179284597341,18.454362552486,23.394378546157608,16.784759960117313,24.117946091522963
AGK,56.10082182420986,69.823946681466,87.23771033553915,188.6463007832912,82.37359226040381,113.04936223805262
AGL,62.77594777566919,265.4267565857388,199.93815452725897,154.0815167753946,52.64154766813356,58.24496694090621
AGO1,24.40339560296289,16.67274795833705,24.337515623952118,26.51266887394173,23.63183904452314,25.537640320891917
AGO2,94.20945806940865,105.45692317794527,100.06752216716387,52.64811597913995,111.44514823462858,37.33670254532077
AGO4,68.55500064378593,24.781128804091164,18.89863328488964,24.43504743273346,76.01014071153396,15.256209055449201
AGPAT1,64.83900289911399,68.16834252327328,72.78554204001881,45.53676819470482,74.97407953682897,33.56301194637577
AGPAT2,85.53719541876471,52.03354156988969,56.307297324774524,57.75003837140872,73.21665710110588,43.33605125098258
AGPAT3,35.95174769762347,15.103908240051286,15.627769751170625,15.460124155107803,11.061997377270316,26.322102517538937
AGPAT4,40.20575175100842,13.651239071831052,23.82773641630459,44.98181595402391,12.830095464750054,16.660829205891098
