,monocytes,myeloid.dendritic.cells,NK.cells,naive.CD4.T.cells,memory.CD4.T.cells,naive.CD8.T.cells,naive.B.cells,neutrophils
VENTX,4.0,6.0,1,1.0,1.0,1.0,1.0,2.0
VENTXP1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
VEPH1,1.0,0.0,1,1.0,1.0,1.0,0.0,1.0
VEZF1,16.0,8.0,14,9.0,4.0,14.0,4.0,22.0
VEZT,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
VGF,3.0,3.0,3,4.0,3.0,3.0,4.0,2.0
VGLL1,1.0,0.0,0,0.0,1.0,1.0,1.0,0.0
VGLL2,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
VGLL3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
VGLL4,2.0,4.0,6,3.0,3.0,3.0,3.0,3.0
VHL,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0
VIL1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VILL,2.0,4.0,10,13.0,7.0,11.0,7.0,5.0
VIM,45.0,47.0,2,3.0,5.0,23.0,2.0,1.0
VIMP,69.0,18.0,20,4.0,12.0,10.0,6.0,25.0
VIP,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VIPAS39,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0
VIPR1,5.0,14.0,1,54.0,5.0,19.0,1.0,2.0
VIPR2,0.0,1.0,1,1.0,1.0,1.0,0.0,0.0
VIT,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0
VKORC1,4.0,24.0,10,4.0,3.0,3.0,3.0,17.0
VKORC1L1,1.0,1.0,0,1.0,0.0,0.0,0.0,1.0
VLDLR,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
VLDLR-AS1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VMA21,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
VMO1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VMP1,1.0,4.0,1,1.0,1.0,1.0,1.0,1.0
VN1R1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VN1R10P,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
VN1R2,0.0,1.0,0,1.0,1.0,0.0,0.0,1.0
VN1R3,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0
VN1R4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VN1R5,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0
VNN1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VNN2,5.0,2.0,7,3.0,1.0,5.0,6.0,15.0
VNN3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VOPP1,81.0,131.0,128,57.0,53.0,62.0,276.0,98.0
VPRBP,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VPREB1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VPREB3,1.0,1.0,1,1.0,1.0,1.0,55.0,1.0
VPS11,36.0,21.0,49,14.0,27.0,18.0,23.0,9.0
VPS13A,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0
VPS13A-AS1,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
VPS13B,0.0,0.0,0,1.0,1.0,0.0,0.0,1.0
VPS13C,1.0,0.0,1,1.0,0.0,0.0,1.0,0.0
VPS13D,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0
VPS16,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VPS18,1.0,2.0,1,2.0,2.0,1.0,1.0,1.0
VPS25,6.0,10.0,5,4.0,6.0,3.0,4.0,12.0
VPS26A,1.0,1.0,1,1.0,1.0,1.0,2.0,1.0
VPS26B,10.0,5.0,15,4.0,6.0,6.0,2.0,5.0
VPS28,124.0,253.0,295,285.0,200.0,142.0,152.0,210.0
VPS29,1.0,1.0,1,1.0,2.0,1.0,2.0,2.0
VPS33A,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VPS33B,18.0,11.0,15,10.0,13.0,15.0,16.0,6.0
VPS35,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0
VPS36,1.0,0.0,1,0.0,0.0,1.0,1.0,1.0
VPS37A,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VPS37B,14.0,2.0,269,31.0,54.0,29.0,59.0,32.0
VPS37C,2.0,3.0,1,2.0,1.0,2.0,2.0,2.0
VPS37D,1.0,1.0,2,2.0,2.0,2.0,1.0,2.0
VPS39,15.0,8.0,16,16.0,9.0,19.0,14.0,8.0
VPS41,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0
VPS45,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VPS4A,16.0,17.0,27,30.0,23.0,30.0,27.0,14.0
VPS4B,83.0,11.0,46,13.0,17.0,48.0,34.0,60.0
VPS51,34.0,162.0,245,378.0,306.0,272.0,422.0,79.0
VPS52,9.0,13.0,24,29.0,18.0,29.0,19.0,20.0
VPS53,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
VPS54,4.0,2.0,2,2.0,2.0,4.0,2.0,2.0
VPS72,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VPS8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
VPS9D1,3.0,6.0,20,7.0,6.0,6.0,4.0,4.0
VPS9D1-AS1,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
VRK1,3.0,5.0,11,7.0,4.0,8.0,5.0,9.0
VRK2,9.0,12.0,3,1.0,3.0,2.0,5.0,8.0
VRK3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VRTN,2.0,2.0,2,3.0,1.0,2.0,2.0,1.0
VSIG1,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0
VSIG10,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
VSIG10L,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VSIG2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VSIG4,1.0,2.0,1,1.0,1.0,1.0,1.0,1.0
VSNL1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VSTM1,29.0,2.0,1,1.0,1.0,1.0,1.0,1.0
VSTM2A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
VSTM2A-OT1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
VSTM2L,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VSTM4,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0
VSX1,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
VTA1,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
VTCN1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VTI1A,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VTI1B,6.0,3.0,1,1.0,1.0,1.0,1.0,2.0
VTN,1.0,1.0,1,2.0,1.0,1.0,1.0,1.0
VWA1,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VWA3A,0.0,1.0,1,1.0,0.0,1.0,1.0,1.0
VWA3B,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
VWA5A,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VWA5B1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VWA5B2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VWA7,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VWA8,1.0,1.0,2,1.0,2.0,2.0,1.0,1.0
VWA8-AS1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
VWA9,1.0,0.0,1,1.0,0.0,1.0,1.0,0.0
VWC2,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0
VWCE,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
VWDE,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
VWF,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WAC,1.0,1.0,1,2.0,1.0,2.0,1.0,1.0
WAC-AS1,14.0,32.0,27,24.0,24.0,15.0,15.0,42.0
WAPAL,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WARS,140.0,44.0,3,2.0,2.0,1.0,5.0,10.0
WARS2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WAS,5.0,5.0,4,5.0,4.0,4.0,4.0,3.0
WASF1,1.0,0.0,0,0.0,0.0,1.0,3.0,1.0
WASF2,1.0,2.0,2,1.0,3.0,1.0,1.0,1.0
WASF3,1.0,1.0,0,1.0,1.0,0.0,1.0,1.0
WASH1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WASH2P,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WASH3P,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WASH5P,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WASH7P,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WASIR1,0.0,1.0,1,1.0,1.0,0.0,1.0,0.0
WASIR2,0.0,1.0,1,1.0,1.0,0.0,1.0,0.0
WASL,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WBP1,2.0,15.0,17,20.0,16.0,5.0,9.0,8.0
WBP11,2.0,1.0,2,2.0,2.0,4.0,3.0,1.0
WBP1L,18.0,16.0,35,6.0,4.0,14.0,14.0,31.0
WBP2,12.0,6.0,9,13.0,8.0,7.0,7.0,4.0
WBP2NL,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
WBP4,2.0,1.0,2,2.0,1.0,2.0,2.0,2.0
WBP5,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0
WBSCR16,1.0,1.0,2,2.0,2.0,1.0,2.0,1.0
WBSCR17,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WBSCR22,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WBSCR27,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
WBSCR28,0.0,1.0,1,1.0,1.0,1.0,1.0,0.0
WDFY1,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDFY2,1.0,2.0,1,2.0,1.0,1.0,1.0,1.0
WDFY3,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0
WDFY3-AS2,1.0,1.0,0,1.0,0.0,1.0,0.0,0.0
WDFY4,1.0,2.0,1,1.0,1.0,1.0,2.0,1.0
WDHD1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WDPCP,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR1,1.0,2.0,1,1.0,1.0,1.0,1.0,2.0
WDR11,1.0,1.0,3,1.0,1.0,1.0,9.0,2.0
WDR11-AS1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR12,1.0,1.0,0,1.0,0.0,1.0,1.0,1.0
WDR13,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR16,1.0,0.0,1,1.0,1.0,0.0,1.0,0.0
WDR17,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0
WDR18,2.0,9.0,5,5.0,4.0,3.0,3.0,4.0
WDR19,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0
WDR20,1.0,1.0,1,1.0,1.0,2.0,1.0,1.0
WDR24,1.0,2.0,2,3.0,2.0,2.0,2.0,2.0
WDR25,1.0,1.0,1,2.0,1.0,2.0,1.0,1.0
WDR26,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WDR27,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR31,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR33,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR34,1.0,1.0,2,1.0,2.0,1.0,14.0,1.0
WDR35,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR36,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR37,1.0,1.0,1,2.0,1.0,1.0,1.0,1.0
WDR38,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR41,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WDR43,13.0,4.0,3,4.0,2.0,10.0,6.0,3.0
WDR44,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR45,27.0,21.0,53,21.0,20.0,24.0,18.0,35.0
WDR45B,202.0,72.0,75,49.0,45.0,79.0,62.0,35.0
WDR46,3.0,6.0,5,4.0,3.0,4.0,4.0,4.0
WDR47,11.0,7.0,18,1.0,1.0,2.0,2.0,3.0
WDR48,6.0,2.0,2,2.0,3.0,2.0,2.0,2.0
WDR49,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WDR5,1.0,2.0,2,2.0,1.0,2.0,1.0,2.0
WDR52,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0
WDR53,3.0,2.0,4,3.0,4.0,5.0,3.0,2.0
WDR54,2.0,10.0,20,14.0,23.0,12.0,8.0,9.0
WDR55,1.0,2.0,1,2.0,1.0,2.0,2.0,2.0
WDR59,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR5B,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR60,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WDR61,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0
WDR62,1.0,1.0,1,1.0,1.0,2.0,2.0,1.0
WDR63,1.0,1.0,1,1.0,1.0,1.0,0.0,0.0
WDR64,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR65,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR66,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WDR7,0.0,1.0,1,0.0,1.0,0.0,0.0,1.0
WDR70,3.0,7.0,5,4.0,5.0,4.0,5.0,2.0
WDR72,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WDR73,1.0,2.0,2,3.0,2.0,3.0,2.0,3.0
WDR74,1.0,1.0,1,1.0,2.0,2.0,2.0,1.0
WDR75,8.0,7.0,8,16.0,7.0,34.0,19.0,7.0
WDR76,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0
WDR77,1.0,4.0,2,1.0,1.0,2.0,2.0,4.0
WDR78,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WDR81,10.0,14.0,11,12.0,9.0,9.0,13.0,11.0
WDR82,255.0,130.0,211,305.0,191.0,323.0,158.0,243.0
WDR83,3.0,4.0,5,4.0,3.0,3.0,4.0,4.0
WDR83OS,60.0,191.0,112,41.0,46.0,32.0,80.0,94.0
WDR86,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR86-AS1,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0
WDR87,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR88,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR89,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR90,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR91,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR92,1.0,2.0,1,2.0,1.0,1.0,2.0,4.0
WDR93,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WDR96,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WDSUB1,10.0,4.0,7,2.0,1.0,5.0,5.0,8.0
WDTC1,1.0,3.0,4,3.0,2.0,2.0,2.0,2.0
WDYHV1,8.0,5.0,3,3.0,3.0,2.0,3.0,3.0
WEE1,1.0,1.0,1,0.0,1.0,1.0,1.0,1.0
WEE2-AS1,0.0,0.0,1,1.0,1.0,1.0,1.0,0.0
WFDC1,1.0,1.0,1,1.0,1.0,1.0,0.0,1.0
WFDC10A,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WFDC10B,0.0,1.0,1,1.0,1.0,0.0,0.0,1.0
WFDC11,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WFDC12,2.0,2.0,2,2.0,2.0,1.0,2.0,2.0
WFDC13,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0
WFDC2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WFDC21P,2.0,38.0,2,2.0,2.0,2.0,6.0,2.0
WFDC3,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WFDC5,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WFDC6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WFDC8,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0
WFDC9,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WFIKKN1,4.0,4.0,3,4.0,4.0,3.0,4.0,3.0
WFIKKN2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WFS1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WHAMM,67.0,20.0,82,116.0,112.0,215.0,132.0,8.0
WHAMMP2,0.0,1.0,1,1.0,0.0,1.0,0.0,1.0
WHAMMP3,0.0,1.0,1,1.0,0.0,1.0,0.0,1.0
WHSC1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WHSC1L1,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
WI2-89031B12.1,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
WIBG,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WIF1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WIPF1,3.0,5.0,31,11.0,13.0,12.0,5.0,24.0
WIPF2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WIPF3,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
WIPI1,11.0,3.0,7,1.0,1.0,1.0,1.0,6.0
WIPI2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WISP1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WISP2,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
WISP3,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
WIZ,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WLS,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0
WNK1,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
WNK2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WNK3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WNK4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WNT1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WNT10A,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WNT10B,1.0,1.0,2,2.0,3.0,5.0,1.0,2.0
WNT11,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WNT16,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WNT2,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0
WNT2B,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0
WNT3,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0
WNT4,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WNT5A,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WNT5B,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WNT6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WNT7A,1.0,1.0,1,6.0,3.0,3.0,1.0,1.0
WNT7B,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WNT8A,0.0,1.0,1,1.0,1.0,1.0,1.0,0.0
WNT8B,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WNT9A,1.0,2.0,1,1.0,1.0,1.0,2.0,1.0
WNT9B,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WRAP53,3.0,4.0,4,5.0,6.0,4.0,3.0,4.0
WRAP73,1.0,2.0,3,2.0,3.0,1.0,2.0,2.0
WRB,1.0,3.0,2,2.0,1.0,2.0,1.0,3.0
WRN,1.0,1.0,3,2.0,2.0,5.0,3.0,2.0
WRNIP1,0.0,1.0,1,1.0,1.0,1.0,0.0,0.0
WSB1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WSB2,29.0,19.0,8,2.0,12.0,15.0,6.0,9.0
WSCD1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WSCD2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WT1,0.0,0.0,1,1.0,0.0,1.0,1.0,1.0
WT1-AS,1.0,1.0,1,0.0,1.0,0.0,1.0,1.0
WTAP,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0
WTH3DI,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0
WTIP,1.0,1.0,1,1.0,1.0,1.0,2.0,1.0
WWC1,0.0,1.0,0,1.0,1.0,1.0,1.0,0.0
WWC2,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0
WWC2-AS2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WWC3,2.0,1.0,8,6.0,4.0,7.0,16.0,6.0
WWOX,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
WWP1,2.0,1.0,3,4.0,5.0,6.0,1.0,4.0
WWP2,1.0,1.0,0,1.0,0.0,1.0,1.0,1.0
WWTR1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
WWTR1-AS1,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0
XAB2,4.0,3.0,4,7.0,6.0,5.0,5.0,1.0
XAF1,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0
XAGE-4,1.0,2.0,2,2.0,3.0,1.0,2.0,2.0
XAGE1B,2.0,2.0,2,2.0,1.0,2.0,3.0,1.0
XAGE1E,2.0,2.0,2,2.0,1.0,2.0,3.0,1.0
XAGE2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
XAGE3,1.0,2.0,2,1.0,2.0,2.0,2.0,1.0
XBP1,2.0,2.0,2,2.0,1.0,3.0,4.0,1.0
XCL1,0.0,1.0,1,0.0,1.0,0.0,0.0,1.0
XCL2,1.0,1.0,664,1.0,2.0,4.0,1.0,523.0
XCR1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
XDH,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0
XG,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
XGY2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
XIAP,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0
XIRP1,1.0,2.0,1,1.0,1.0,1.0,1.0,1.0
XIRP2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
XIST,1.0,1.0,1,1.0,1.0,0.0,0.0,1.0
XK,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
XKR4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
XKR6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
XKR7,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
XKR8,51.0,27.0,32,17.0,11.0,16.0,10.0,17.0
XKRX,0.0,1.0,0,0.0,1.0,0.0,1.0,0.0
XKRY,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
XKRY2,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
XPA,5.0,7.0,6,5.0,3.0,3.0,3.0,5.0
XPC,5.0,6.0,15,22.0,24.0,29.0,19.0,13.0
XPNPEP1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
XPNPEP2,1.0,0.0,1,1.0,1.0,1.0,0.0,1.0
XPNPEP3,0.0,1.0,0,1.0,1.0,0.0,1.0,1.0
XPO1,5.0,1.0,4,2.0,1.0,6.0,7.0,4.0
XPO4,2.0,1.0,1,1.0,2.0,2.0,1.0,1.0
XPO5,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0
XPO6,42.0,16.0,50,85.0,45.0,91.0,43.0,32.0
XPO7,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0
XPOT,2.0,3.0,3,5.0,3.0,6.0,3.0,4.0
XPR1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
XRCC1,10.0,7.0,8,12.0,6.0,10.0,8.0,8.0
XRCC2,7.0,8.0,8,15.0,10.0,8.0,10.0,13.0
XRCC3,2.0,1.0,2,2.0,1.0,2.0,2.0,1.0
XRCC4,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0
XRCC5,1.0,1.0,1,1.0,1.0,3.0,3.0,1.0
XRCC6,2.0,2.0,2,8.0,3.0,3.0,5.0,1.0
XRCC6BP1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
XRN1,1.0,0.0,1,0.0,1.0,0.0,0.0,1.0
XRN2,3.0,4.0,1,2.0,2.0,2.0,1.0,4.0
XRRA1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
XXYLT1,3.0,5.0,6,4.0,5.0,2.0,2.0,3.0
XXbac-B476C20.9,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
XXbac-BPG32J3.18,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
XXyac-YX155B6.7,1.0,1.0,1,1.0,1.0,2.0,1.0,1.0
XYLB,1.0,1.0,0,0.0,1.0,1.0,0.0,0.0
XYLT1,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0
XYLT2,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0
Y16709,163.0,282.0,316,132.0,228.0,224.0,539.0,357.0
YAE1D1,1.0,1.0,1,2.0,1.0,2.0,1.0,2.0
YAF2,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0
YAP1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
YARS,9.0,2.0,12,4.0,5.0,7.0,13.0,4.0
YARS2,4.0,3.0,5,5.0,3.0,5.0,3.0,3.0
YBEY,1.0,1.0,2,5.0,3.0,1.0,2.0,4.0
YBX1,5.0,3.0,1,3.0,2.0,3.0,3.0,2.0
YBX2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
YBX3,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0
YDJC,2.0,8.0,8,10.0,10.0,6.0,10.0,5.0
YEATS2,4.0,4.0,3,3.0,4.0,3.0,5.0,2.0
YEATS4,6.0,3.0,8,17.0,8.0,21.0,5.0,5.0
YES1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
YIF1A,6.0,12.0,3,3.0,2.0,2.0,5.0,4.0
YIF1B,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
YIPF1,8.0,5.0,4,2.0,2.0,2.0,3.0,4.0
YIPF2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
YIPF3,9.0,11.0,7,6.0,5.0,6.0,6.0,9.0
YIPF4,1.0,0.0,0,1.0,0.0,1.0,1.0,1.0
YIPF5,1.0,1.0,1,1.0,1.0,1.0,0.0,2.0
YIPF6,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
YJEFN3,2.0,2.0,2,3.0,2.0,2.0,2.0,1.0
YKT6,2.0,1.0,1,1.0,2.0,1.0,1.0,1.0
YLPM1,0.0,0.0,1,1.0,1.0,0.0,1.0,1.0
YME1L1,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0
YOD1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
YPEL1,1.0,1.0,2,1.0,1.0,1.0,1.0,3.0
YPEL2,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0
YPEL3,2.0,2.0,10,11.0,6.0,3.0,8.0,5.0
YPEL4,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
YPEL5,487.0,211.0,342,308.0,185.0,422.0,186.0,67.0
YRDC,2.0,4.0,2,3.0,4.0,2.0,2.0,1.0
YTHDC1,0.0,0.0,1,1.0,1.0,0.0,1.0,1.0
YTHDC2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
