,CYFZ,FY2H,FLWA,453W,684C,CZJE,925L,9JD4,G4YW,4DUY,36TS,CR3L
MGAT4B,1.285418586,4.517799937,12.67694866,1.565382164,4.153168584,2.232438084,3.651012797,9.634138347,5.663868249,3.644121894,4.800447308,6.479571433
SQSTM1,207.5310858,174.2399701,198.3192741,187.6347624,168.3315823,230.499856,188.3917483,201.0025136,210.5735136,228.5528563,239.2992654,165.3433691
MRNIP,21.61282149,23.30550799,27.87454758,27.50438558,35.78228169,15.58859881,29.36484897,32.80123036,22.45745581,22.74981417,21.88556119,36.52704065
TBC1D9B,68.19939441,66.33348302,62.16396455,72.43893323,55.15462049,58.58100658,72.53553006,62.26609368,60.48659918,66.98044537,56.46886605,69.51923463
RNF130,179.64831,287.6650253,237.4356902,225.5559644,219.0018433,291.1301628,189.2213243,170.9054383,236.9750639,199.5180796,236.9340703,242.4451749
RP11-39H3.2,0.357668934,0.182635831,0.144437096,0.407145024,0.096157721,1.062521456,0.552704236,0.413317665,0.309823571,0.22577756,0.437437824,0.445560993
MAPK9,4.392012428,5.885619647,8.597567649,5.166895474,5.032491902,5.790778269,6.763355133,5.512606781,8.246734806,7.234178437,4.18875273,4.057530451
GFPT2,1.243161068,0,2.110075388,6.401368536,0.964987852,1.182842619,0.811036745,0.679056883,1.057714213,3.499356125,0.637554161,0.547131338
CNOT6,12.44742565,6.732639007,11.04991789,13.76627528,12.46645248,7.909617381,9.665764896,9.565308734,10.68802219,6.017178877,8.997150399,7.695580242
FLT4,0.547785717,1.299552119,2.183990132,1.478482657,0.843840234,1.768945102,1.337026633,1.559874732,1.389047925,0.810277426,1.055526722,1.45502402
MGAT1,212.6777733,255.8191819,222.8010353,257.75082,202.2518634,255.6400765,188.5653159,224.597662,243.3763773,193.8386891,215.7827501,212.3765758
CTC-205M6.1,1.186166168,2.720739245,3.381455966,0.595369288,0.472636534,1.442619669,0.983466367,1.026086391,1.323334943,2.0940775,1.717787707,1.762758432
