gene,naive.B.cells,CD4.T.cells,CD8.T.cells,NK.cells,neutrophils,monocytes,fibroblasts,endothelial.cells
C1orf127,0.30297975,0.6322785,0.37750875,0.7205795,0.81371105,0.963825792,0,0
MVB12B,1.308074413,2.506273522,12.72287125,6.7577785,0.49094555,3.795751908,0,0.73
CD160,2.870292,2.11061925,1.3366474,254.817065,0.675512,3.07703905,0,0
KRT73,0.128765513,48.25019,27.3711293,14.53121515,0,0.238708908,0,0
NKAIN2,0.0281115,0,0,0,0,0.083478417,3.6125,0
STEAP1B,7.982113375,0,0,0,0,0.01250875,7.6175,0
LINC00494,13.12020146,0.54023975,0,0.021502325,0,0,0,0
OR6K3,0,0,0,0,0,0,10.7475,0
CHMP7,225.6258499,461.07311,311.4159758,89.4923865,22.9597537,63.22906311,3.29,28.375
ILDR1,5.596847713,0.2948615,0.2031505,0.236073,0.2631625,0.29669905,1.0975,0
ACPP,3.549848425,0.3927283,0.1778176,1.1372065,30.653386,36.25055775,0,2.4275
FAM20C,0.011245725,0,0,0.248017575,0.083640575,2.073389092,4.0625,15.6825
PLAG1,6.556298,11.68916925,16.86315425,1.146551,0.13250925,1.175836083,0,0
PALD1,0.436866325,0.07813885,0.181102125,0.91416375,0.015142775,0.176096308,0,1.88
LRRN3,0.65962315,144.6564065,245.0320165,0.57525925,0.10474925,0.605570169,5.33,5.05
ARHGEF4,0.418473994,8.118242033,19.61881512,0.7789545,1.629488006,0.278381042,0,0
