Symbol,B.cells,CD4.T.cells,CD8.T.cells,endothelial.cells,fibroblasts,monocytic.lineage,neutrophils,NK.cells
LST1,79.64671724,1603.915489,497.8519542,36.69984581,26.56251151,4266.655976,12906.04207,530.5104277
HAL,521.4907504,170.1556354,142.7628778,141.1411068,87.9564879,831.7962137,1969.123566,120.1663727
APOBEC3G,111.8516574,60.59062661,43.15988787,47.48603343,52.40022725,66.50123941,129.9421634,374.4837618
ITK,767.1874943,7585.047583,7877.643601,286.1514306,169.8786592,245.4336621,807.1262287,4604.127184
CD180,2716.663766,406.7328283,184.072154,120.2580138,80.18567772,922.1034394,193.7346966,67.50801475
ADAMDEC1,592.2407368,73.95003886,83.94255346,202.0822813,73.11586847,1119.692641,465.8075815,105.5093995
SKAP1,2684.138371,2080.520296,2660.022255,610.1258437,288.1588233,335.9986738,1125.149114,1709.911834
AEBP1,141.5094263,139.6043858,131.6246793,168.087329,1923.349278,91.71803201,105.5093995,96.71729182
CEACAM3,154.2794004,125.534284,133.2307971,54.31746096,151.5582404,118.2095827,412.9025001,90.56583824
PLEKHG3,27.47498401,60.01698942,98.62403616,57.60926291,45.03555825,89.79270415,623.9473882,160.8347097
TNFRSF13B,625.9834626,269.3882408,273.1295553,227.20095,264.7898142,284.1054397,494.9345765,293.8316264
TEP1,34.17062443,71.40799667,156.2959684,18.43658955,15.94140096,43.15988787,18.76628863,267.7676874
ATHL1,615.3415166,1180.220178,1402.22828,290.0866509,184.4414519,382.1344743,2095.636543,831.3061377
AIF1,46.71736257,62.79772706,131.0111664,42.85356983,27.04038844,153.435224,162.041385,78.19998839
LY86,7540.525045,1551.150118,521.971576,241.8454136,232.6528464,6112.904023,1051.524754,287.1924273
TLR8,15.0092278,105.9354887,11.73320051,24.03008169,15.80266397,2177.203278,2142.711729,82.30709159
SSX1,17.14587901,17.48187898,8.360241617,9.0674915,13.85403209,12.43996234,8.596415061,8.124909299
BLK,895.4444108,66.02432328,217.5309081,18.76628863,33.46563941,83.40433653,17.68490826,27.33667358
NOD2,22.54235064,413.1117432,29.39498541,11.37129013,20.54159504,1608.705673,582.6166399,303.9552568
TMEM156,796.5779015,282.4017564,294.3377102,38.36929701,16.57375205,52.92514522,143.714655,206.7959311
ETV3,55.44603144,31.5093444,40.24508674,118.4794546,17.83411231,28.05509622,38.16021727,19.97872383
CD68,40.33729428,193.8067736,151.6279148,51.96816079,272.8188641,687.1537255,69.63460201,129.4066451
RYR1,174.1171345,165.9850296,202.5557226,137.0366135,62.75771667,226.7940563,183.3744538,78.82619549
OXTR,528.4659802,190.9274196,156.4848978,183.463119,5496.127549,203.6862349,495.8322295,202.7198253
SLAMF1,1197.232453,1476.076577,831.3061377,253.6682893,150.4151498,327.998116,526.375128,261.4546849
IGSF6,123.9152596,860.8306627,82.38232252,65.60727018,68.48901606,3647.344725,7833.082059,349.469671
