,Lin-_1,Lin-_2,MNC_1,MNC_2
209772_s_at,53.79845125,50.77744242,552.6684687,560.7113434
209773_s_at,852.6835935,796.2983027,506.2690527,492.3049454
209774_x_at,763.3280464,694.7662689,121.728871,125.394066
209775_x_at,71.4743117,80.85819376,87.59262697,76.04206039
209776_s_at,66.78633422,67.42324162,91.3477429,89.62233437
209777_s_at,103.6673943,111.1099346,177.8894974,181.668819
209778_at,330.6312377,306.8635764,262.1409142,273.500731
209779_at,38.7460966,38.47498562,33.95063032,37.64699567
209780_at,694.2508137,646.7726604,669.8660313,586.8304541
209781_s_at,227.5892584,227.1918176,64.75760572,100.0836658
209782_s_at,97.10107009,93.36270564,113.408424,142.5891477
209783_at,105.7552846,96.16187283,96.28929771,110.4419074
209784_s_at,87.81373506,87.68711274,101.6456786,102.9493886
209785_s_at,53.59327703,46.68691497,40.0291764,42.56408645
209786_at,762.901198,874.3146384,1037.626899,909.8655034
209787_s_at,1117.246986,1069.770095,1359.733549,1146.353701
209788_s_at,304.122617,321.8957391,376.8295569,371.4287532
209789_at,20.89798386,32.97137794,111.9072461,110.0817448
209790_s_at,884.4128249,851.3938481,267.5734395,332.2838551
209791_at,136.0327061,148.4631483,4961.074322,4372.578141
