	Lin-_1	MNC_1
201209_at	3590.91874	2863.416978
201210_at	5400.275144	6289.79831
201211_s_at	227.5921612	334.1975664
201212_at	86.29935819	64.83737914
201213_at	89.72188558	74.32770489
201214_s_at	543.0499267	441.4011938
201215_at	461.5064802	61.67007878
201216_at	6580.446205	6856.946442
201217_x_at	21994.95719	18644.30887
201218_at	789.5609538	1044.683648
201219_at	1046.626335	873.6567373
201220_x_at	1502.601199	1393.027987
201221_s_at	1429.121524	1216.268794
201222_s_at	753.0496583	834.734862
201223_s_at	3459.904576	3228.124342
201224_s_at	277.4268519	216.916734
201225_s_at	1416.983232	1312.630203
201226_at	3595.512361	2194.16123
201227_s_at	5238.377909	4077.023436
201228_s_at	221.2850483	203.37276
201229_s_at	255.7613776	242.0451042
201230_s_at	764.117037	633.6939521
201231_s_at	6224.459301	3230.523637
201232_s_at	1607.790657	1607.913099
201233_at	1234.517882	1311.637946
201234_at	2587.728893	2523.133104
201235_s_at	71.37218297	103.7873269
201236_s_at	2228.307898	3012.145667
201237_at	1418.852271	2855.575293
